Sentence,Entity,Human,NewsSentiment,ChatGPT,Llama
"A new post-poll combination, between the Sena, NCP and the Congress and some independents, has now formed the government.",Congress,neutral,neutral,positive,neutral
The Congress once again fell short of numbers needed to get Leader of Opposition position in Lok Sabha.,Congress,negative,negative,negative,negative
"In the third phase, voting was held in 116 Lok Sabha seats, including all constituencies in Gujarat and Kerala, with BJP president Amit Shah, Congress chief Rahul Gandhi and several Union Ministers among prominent candidates in the fray.",Congress,neutral,neutral,neutral,neutral
"“The farzi dosti of bua and babua will also end the same way,” Modi said at an election rally here, referring to Mayawati and SP president Akhilesh Yadav.",Mayawati,negative,neutral,negative,negative
"The lone Muslim candidate from Gurugram, he is pitted against the Bharatiya Janata Party’s (BJP) Rao Inderjit Singh and Congress’ Captain Ajay Yadav.",Congress,neutral,neutral,neutral,neutral
"The Congress appeared to make a comeback, forming the governments in the States after last year’s Assembly polls.",Congress,positive,positive,positive,positive
The run-up to the election saw leaders from across the country — including Prime Minister Narendra Modi and Congress president Rahul Gandhi — campaigning extensively.,Congress,neutral,neutral,neutral,neutral
"See a map of states voting With all the votes counted, Congress won Delhi by 42 seats to the Bharatiya Janata Party's 23 and captured Rajasthan, winning 96 seats to the BJP's 78.",Congress,neutral,positive,positive,positive
"In Mizoram in the north-east, Congress swept back to power for the first time in a decade.",Congress,positive,positive,positive,positive
The incumbent Congress party-led coalition and parties led by the Hindu nationalist Bharatiya Janata Party will be battling a host of smaller parties.,Congress,neutral,neutral,neutral,neutral
Speakers at the rally said both the Congress and the BJP-led alliances had failed to address people's grievances.,Congress,negative,negative,negative,neutral
"India's governing Congress party has released its election manifesto, appealing for a return to power so it can continue to push economic growth.",Congress,positive,positive,positive,positive
"Congress president Sonia Gandhi said ""security and prosperity of all citizens will be our endeavour"".",Sonia Gandhi,positive,positive,positive,neutral
"Leading candidates: Manmohan Singh (Congress), LK Advani (BJP), Mayawati (""Third front"")",Congress,neutral,neutral,neutral,neutral
Mayawati has ambitions to become a pan-Indian leader and could be a crucial player in,Mayawati,positive,positive,positive,positive
The BJP's main rival is the governing Congress party.,Congress,neutral,neutral,neutral,negative
"Polls were held in 140 constituencies in 12 states, in a vote which pits the Congress-led coalition and opposition BJP-led bloc against smaller parties.",Congress,neutral,neutral,neutral,neutral
The ruling Congress-led coalition and opposition BJP-led alliance are scrambling to gain pledges of support with a hung parliament predicted.,Congress,negative,neutral,neutral,neutral
"The leaders of India's Congress party have thanked the people for returning them to power with a ""massive mandate"".",Congress,positive,positive,positive,positive
"Congress President Sonia Gandhi said that they had made the ""right choice"" and PM Manmohan Singh vowed the party would ""rise to the occasion"".",Sonia Gandhi,positive,positive,positive,positive
Congress has made tackling the effects of the global economic crisis and ensuring growth its key priorities.,Congress,positive,positive,positive,neutral
The Congress party is hoping to retain power in the three states,Congress,neutral,positive,neutral,neutral
"In the northern state of Haryana, the Congress is seeking a second term in office against a divided opposition, correspondents say.",Congress,neutral,neutral,positive,neutral
"If this was odd, odder still was the Congress second-in-command’s refusal to woo the electorate with the kind of largesse and promises mandatorily handed out ahead of a critically important general election.",Congress,negative,negative,negative,negative
Sources said the party does not really want Mayawati’s dismissal; it wants her to stay on and destroy all chances of BSP’s reelection in 2012 by her misrule.,Mayawati,negative,negative,negative,negative
